Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,5,112,135,140,141,141,70,141,0.000%,.24913,4.08,0.11
EnquiryPage,5,50,45,59,75,75,34,75,0.000%,.25024,3.15,0.14
SubmitEnquiry,5,111,107,123,130,130,92,130,0.000%,.24936,3.16,0.20
TOTAL,15,91,92,135,140,141,34,141,0.000%,.70578,9.79,0.43
