Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Index-Base URL Page,1,201,201,201,201,201,201,201,0.000%,4.97512,24.59,1.87
Admin Login,2,35,14,56,56,56,14,56,0.000%,2.36686,5.61,1.17
Admin Login-exec,1,29,29,29,29,29,29,29,0.000%,34.48276,83.38,23.84
Admin Dashboard,1,85,85,85,85,85,85,85,0.000%,11.76471,113.38,6.27
Create Package,1,54,54,54,54,54,54,54,0.000%,18.51852,177.59,10.04
Create Package-exec,1,72,72,72,72,72,72,72,0.000%,13.88889,134.30,22.33
Admin Logout,1,29,29,29,29,29,29,29,0.000%,34.48276,96.81,36.50
TOTAL,8,67,54,85,201,201,14,201,0.000%,7.64818,41.88,5.54
