Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Index-Base URL Page,1,311,311,311,311,311,311,311,0.000%,3.21543,15.89,1.21
Admin Login,2,34,26,43,43,43,26,43,0.000%,1.22699,2.91,0.61
Admin Login-exec,1,49,49,49,49,49,49,49,0.000%,20.40816,49.35,14.11
Admin Dashboard,1,412,412,412,412,412,412,412,0.000%,2.42718,23.39,1.29
Create Package,1,38,38,38,38,38,38,38,0.000%,26.31579,252.36,14.26
Create Package-exec,1,445,445,445,445,445,445,445,0.000%,2.24719,21.73,3.57
Admin Logout,1,112,112,112,112,112,112,112,0.000%,8.92857,25.07,9.45
TOTAL,8,179,49,412,445,445,26,445,0.000%,4.12159,22.57,2.98
