timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623067581337,125,Index page,200,OK,Thread Group 1-1,text,true,,16377,457,1,1,http://127.0.0.1/tms/,124,0,51
1623067581467,100,Login form -exe,200,OK,Thread Group 1-1,text,true,,16361,693,1,1,http://127.0.0.1/tms/,93,0,0
1623067581569,35,Tour package list page,200,OK,Thread Group 1-1,text,true,,58639,528,1,1,http://127.0.0.1/tms/package-list.php,22,0,0
1623067581808,49,Select tour package,200,OK,Thread Group 1-1,text,true,,14368,555,1,1,http://127.0.0.1/tms/package-details.php?pkgid=1,35,0,0
1623067581858,253,Book tour package,200,OK,Thread Group 1-1,text,true,,14441,771,1,1,http://127.0.0.1/tms/package-details.php?pkgid=1,238,0,0
1623067582112,114,Logout,200,OK,Thread Group 1-1,text,true,,16895,1078,1,1,http://127.0.0.1/tms/index.php,13,0,0
1623067582112,13,Logout-0,302,Found,Thread Group 1-1,text,true,,477,549,1,1,http://127.0.0.1/tms/logout.php,13,0,0
1623067582126,100,Logout-1,200,OK,Thread Group 1-1,text,true,,16418,529,1,1,http://127.0.0.1/tms/index.php,89,0,0
1623067582228,66,Index page,200,OK,Thread Group 1-1,text,true,,16520,529,1,1,http://127.0.0.1/tms/index.php,58,0,0
